farm_id,lat,lon,date,temp_max,temp_min,temp,humidity,precip,windspeed,pressure,visibility,cloudcover,conditions,description,uvindex,sunrise,sunset
F001,10.546179,76.41653,2025-07-20,27.0,23.0,24.9,92.1,22.0,18.4,1006.7,3.6,90.4,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,2.0,06:11:05,18:50:26
F001,10.546179,76.41653,2025-07-21,27.0,23.9,25.3,92.2,19.4,8.2,1007.6,3.9,89.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,1.0,06:11:18,18:50:19
F001,10.546179,76.41653,2025-07-22,29.4,24.0,25.8,89.5,19.8,16.6,1008.4,3.8,89.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,3.0,06:11:31,18:50:11
F001,10.546179,76.41653,2025-07-23,28.1,24.0,25.3,92.7,15.8,20.5,1008.1,4.0,91.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,2.0,06:11:43,18:50:02
F001,10.546179,76.41653,2025-07-24,27.1,23.0,24.5,93.4,22.0,25.9,1007.4,3.3,93.1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,2.0,06:11:55,18:49:52
F001,10.546179,76.41653,2025-07-25,28.0,23.0,25.0,90.3,15.0,37.2,1008.0,3.6,91.6,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,5.0,06:12:07,18:49:42
F001,10.546179,76.41653,2025-07-26,24.0,22.9,23.4,97.3,88.0,27.5,1009.9,2.9,96.3,"Rain, Overcast",Cloudy skies throughout the day with rain.,3.0,06:12:18,18:49:31
F001,10.546179,76.41653,2025-07-27,29.1,23.0,24.7,91.9,13.0,7.6,1010.1,4.1,81.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,2.0,06:12:29,18:49:18
F001,10.546179,76.41653,2025-07-28,31.0,23.0,26.5,84.8,0.6,27.7,1009.8,9.4,56.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,9.0,06:12:40,18:49:05
F001,10.546179,76.41653,2025-07-29,31.4,23.0,27.4,80.6,1.8,27.3,1010.1,4.7,55.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,8.0,06:12:50,18:48:51
F001,10.546179,76.41653,2025-07-30,31.0,24.2,27.2,83.2,2.6,24.1,1009.6,5.1,83.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,7.0,06:13:00,18:48:37
F001,10.546179,76.41653,2025-07-31,30.0,24.0,26.6,88.8,11.4,19.6,1009.4,5.2,80.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,6.0,06:13:10,18:48:21
F001,10.546179,76.41653,2025-08-01,31.0,25.0,27.2,86.0,6.0,22.3,1008.6,4.2,79.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,6.0,06:13:19,18:48:05
F001,10.546179,76.41653,2025-08-02,26.0,24.0,25.0,91.5,13.0,22.3,1009.0,4.0,88.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,5.0,06:13:28,18:47:48
F001,10.546179,76.41653,2025-08-03,30.0,23.0,25.3,90.0,3.0,17.3,1009.2,4.0,93.4,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,4.0,06:13:36,18:47:30
F001,10.546179,76.41653,2025-08-04,29.6,22.9,26.4,84.7,5.4,22.1,1008.7,4.7,77.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,8.0,06:13:44,18:47:11
F001,10.546179,76.41653,2025-08-05,27.0,24.0,25.2,93.1,106.1,14.8,1009.1,3.5,92.1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,4.0,06:13:51,18:46:52
F001,10.546179,76.41653,2025-08-06,30.0,24.0,26.8,82.7,4.8,22.3,1008.6,4.7,75.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,8.0,06:13:59,18:46:31
F001,10.546179,76.41653,2025-08-07,29.0,24.0,26.6,85.2,1.1,16.6,1008.5,5.0,73.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,6.0,06:14:05,18:46:10
F001,10.546179,76.41653,2025-08-08,29.7,23.5,26.7,85.5,0.7,14.8,1008.9,5.2,81.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,7.0,06:14:11,18:45:48
F001,10.546179,76.41653,2025-08-09,28.0,25.0,26.1,91.1,4.0,13.0,1010.4,3.8,86.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,6.0,06:14:17,18:45:26
